"Local", "Taxa de escolarização de 6 a 14 anos de idade"
"Abreu e Lima", 97.2
"Afogados da Ingazeira", 97.3
"Afrânio", 98.7
"Agrestina", 96.4
"Água Preta", 94
"Águas Belas", 96.1
"Alagoinha", 96.3
"Aliança", 97
"Altinho", 96.9
"Amaraji", 96.6
"Angelim", 96.4
"Araçoiaba", 97
"Araripina", 95.2
"Arcoverde", 97.3
"Barra de Guabiraba", 93.7
"Barreiros", 94.6
"Belém de Maria", 98.5
"Belém do São Francisco", 97.3
"Belo Jardim", 97.1
"Betânia", 93.8
"Bezerros", 95.9
"Bodocó", 95.7
"Bom Conselho", 96.2
"Bom Jardim", 97
"Bonito", 96.7
"Brejão", 96.3
"Brejinho", 98.2
"Brejo da Madre de Deus", 95.6
"Buenos Aires", 97.4
"Buíque", 94.7
"Cabo de Santo Agostinho", 96.5
"Cabrobó", 97.6
"Cachoeirinha", 95.3
"Caetés", 92.6
"Calçado", 97.1
"Calumbi", 95.3
"Camaragibe", 97.4
"Camocim de São Félix", 97
"Camutanga", 97.9
"Canhotinho", 91.8
"Capoeiras", 96.5
"Carnaíba", 96.1
"Carnaubeira da Penha", 98.1
"Carpina", 95.5
"Caruaru", 94.9
"Casinhas", 97.5
"Catende", 95.2
"Cedro", 95.5
"Chã de Alegria", 97.1
"Chã Grande", 96.7
"Condado", 97.3
"Correntes", 93.1
"Cortês", 97.2
"Cumaru", 98.5
"Cupira", 97.3
"Custódia", 97.1
"Dormentes", 97
"Escada", 94.1
"Exu", 95.2
"Feira Nova", 97.6
"Fernando de Noronha", 100
"Ferreiros", 97.9
"Flores", 96.4
"Floresta", 95.6
"Frei Miguelinho", 95.4
"Gameleira", 97
"Garanhuns", 96.8
"Glória do Goitá", 98.3
"Goiana", 96.7
"Granito", 98.5
"Gravatá", 97.2
"Iati", 90.5
"Ibimirim", 93.7
"Ibirajuba", 96.7
"Igarassu", 97.9
"Iguaracy", 98.7
"Inajá", 84.2
"Ingazeira", 98.2
"Ipojuca", 97.3
"Ipubi", 95.1
"Itacuruba", 97.5
"Itaíba", 93.3
"Ilha de Itamaracá", 97.6
"Itambé", 94.6
"Itapetim", 97.5
"Itapissuma", 97.6
"Itaquitinga", 97.3
"Jaboatão dos Guararapes", 96.8
"Jaqueira", 95.4
"Jataúba", 97.6
"Jatobá", 97.7
"João Alfredo", 97.1
"Joaquim Nabuco", 95.5
"Jucati", 98
"Jupi", 96.3
"Jurema", 96
"Lagoa do Carro", 97.8
"Lagoa de Itaenga", 98.9
"Lagoa do Ouro", 96.5
"Lagoa dos Gatos", 96.5
"Lagoa Grande", 96.3
"Lajedo", 97.9
"Limoeiro", 98
"Macaparana", 97.9
"Machados", 82.9
"Manari", 93.4
"Maraial", 94.1
"Mirandiba", 95.8
"Moreno", 95.8
"Nazaré da Mata", 96.1
"Olinda", 96.9
"Orobó", 97.2
"Orocó", 98
"Ouricuri", 92.4
"Palmares", 96.3
"Palmeirina", 94
"Panelas", 98.6
"Paranatama", 97.9
"Parnamirim", 97
"Passira", 95.9
"Paudalho", 96.7
"Paulista", 97.9
"Pedra", 92
"Pesqueira", 97.4
"Petrolândia", 96
"Petrolina", 97
"Poção", 97
"Pombos", 95
"Primavera", 96.7
"Quipapá", 97.2
"Quixaba", 99.2
"Recife", 97.1
"Riacho das Almas", 93.4
"Ribeirão", 92.9
"Rio Formoso", 89.5
"Sairé", 97.7
"Salgadinho", 87.6
"Salgueiro", 96.7
"Saloá", 97.4
"Sanharó", 93.2
"Santa Cruz", 97.5
"Santa Cruz da Baixa Verde", 97.8
"Santa Cruz do Capibaribe", 95.7
"Santa Filomena", 97
"Santa Maria da Boa Vista", 97.4
"Santa Maria do Cambucá", 96.4
"Santa Terezinha", 97.8
"São Benedito do Sul", 83.7
"São Bento do Una", 93
"São Caitano", 97.2
"São João", 96.3
"São Joaquim do Monte", 94.2
"São José da Coroa Grande", 95.8
"São José do Belmonte", 96.2
"São José do Egito", 98.9
"São Lourenço da Mata", 97.1
"São Vicente Férrer", 95.2
"Serra Talhada", 96.7
"Serrita", 98.1
"Sertânia", 94.6
"Sirinhaém", 94.1
"Moreilândia", 96.8
"Solidão", 96.9
"Surubim", 97.8
"Tabira", 97.2
"Tacaimbó", 94.4
"Tacaratu", 96.3
"Tamandaré", 95.5
"Taquaritinga do Norte", 96.2
"Terezinha", 95.7
"Terra Nova", 98.2
"Timbaúba", 97.7
"Toritama", 91.5
"Tracunhaém", 97
"Trindade", 97.9
"Triunfo", 98.4
"Tupanatinga", 96
"Tuparetama", 98.6
"Venturosa", 97.5
"Verdejante", 95
"Vertente do Lério", 96.7
"Vertentes", 94.1
"Vicência", 95.6
"Vitória de Santo Antão", 96.9
"Xexéu", 95
